,,,,,,
Rayonun adı,Təşkil olunma tarixi,,Ərazi (kv.km),Əhalinin sayı[2],KordinatlarI,Wealth level
Nəsimi rayonu,13 iyun 1969,10,222.6,"222,6 min nəfər;","40.38°N, 49.84°E",High
Yasamal rayonu,1932,1.08,249.3," 249,3 min;","40.37°N, 49.81°E",Medium-High
Nizami rayonu,21 noyabr 1980,1.08,201.8,"201,8 min nəfər;","40.40°N, 49.95°E",Medium-High
Xətai rayonu,1904,1.08,289.9," 289,9 min nəfər;","40.38°N, 49.90°E",Medium-Growing
Nərimanov rayonu,24 noyabr 1941,1.08,179.8,"179,8 min nəfər;","40.41°N, 49.88°E",High
Səbail rayonu,1920,1.08,102.6," 102,6 min nəfər;","40.35°N, 49.83°E",Elite
Suraxanı rayonu,1920,1.08,222, 222 min nəfər;,"40.42°N, 50.04°E",Low
Binəqədi rayonu,28 aprel 1920,1.08,268.4,"268,4 min nəfər;","40.45°N, 49.85°E",Below Average
Sabunçu rayonu,11 noyabr 1920[3],1.08,247.2,"247,2 min nəfər;","40.48°N, 50.00°E",Low
Pirallahı rayonu,21 dekabr 2012,1.08,20.6,"20,6 min nəfər.","40.45°N, 50.35°E",Low
Xəzər rayonu,3 noyabr 1934,1.08,168.4,"168,4 min nəfər;","40.45°N, 50.15°E",Medium
Qaradağ rayonu,7 May 1923,1.08,127.9," 127,9 min nəfər;","40.25°N, 49.60°E",Low
