Year,,Yük daşınmışdır (min ton),fiziki şəxslər tərəfindən (min ton),Yük dövriyyəsi (mln ton km),fiziki şəxslər tərəfindən (mln ton km),Sərnişin daşınmışdır (min sərnişin),şəhərlərarası (min sərnişin),şəhərdaxili (min sərnişin),şəhərətrafı (min sərnişin),Sərnişin dövriyyəsi (mln sərnişin/km),fiziki şəxslər tərəfindən (mln sərnişin/km),Bir ton yükün orta daşınma məsafəsi (kilometr),Bir sərnişinin orta daşınma məsafəsi (kilometr),İşçilərin orta illik sayı (nəfər)
2024,,143477.0,85588.0,13446.0,7490.0,1846009.0,-,-,-,28425.0,11876.0,93.7,15.4,22223
2023,,134216.0,79817.0,12450.0,6961.0,1694104.0,-,-,-,25645.0,10885.0,92.8,15.1,23395
2022,,126025.0,74562.0,11603.0,6476.0,1405021.0,31731.0,1076250.0,297040.0,21119.0,9377.0,92.1,15.0,22771.0
2021,,112522.0,67907.0,9425.0,5507.0,1119944.0,25831.0,882361.0,211752.0,16892.0,8903.0,83.8,15.1,21494.0
2020,,111518.0,73176.0,8801.0,5249.0,1100201.0,29864.0,833957.0,236380.0,16974.0,10627.0,78.9,15.4,22454.0
2019,,155318.0,102344.0,17531.0,10541.0,1813258.0,52472.0,1342256.0,418530.0,25950.0,16673.0,112.9,14.3,26836.0
2018,,149344.0,98503.0,16857.0,10145.0,1766564.0,51142.0,1307498.0,407924.0,25276.0,16256.0,112.9,14.3,22747.0
2017,,144854.0,95634.0,16334.0,9840.0,1739726.0,50365.0,1287635.0,401726.0,24886.0,16020.0,112.8,14.3,22401.0
2016,,141459.0,93484.0,15967.0,9628.0,1708191.0,49671.0,1262915.0,395605.0,24429.0,15742.0,112.9,14.3,21680.0
2015,,137605.0,91026.0,15532.0,9375.0,1666155.0,49034.0,1228892.0,388229.0,23825.0,15368.0,112.9,14.3,21908.0
2014,,128603.0,85150.0,14516.0,8770.0,1608532.0,48556.0,1181342.0,378634.0,22992.0,14844.0,112.9,14.3,15188.0
2013,,125222.0,82993.0,14120.0,8539.0,1535247.0,45380.0,1134342.0,355525.0,21880.0,14140.0,112.8,14.3,18467.0
2012,,118123.0,77202.0,13307.0,8041.0,1417413.0,42176.0,1043281.0,331956.0,20034.0,12860.0,112.7,14.1,17789.0
2011,,109780.0,71749.0,12356.0,7564.0,1304441.0,39052.0,955439.0,309950.0,18264.0,11686.0,112.6,14.0,16497.0
2010,,99891.0,67181.0,11325.0,7109.0,1200330.0,36159.0,875308.0,288863.0,16633.0,10619.0,113.4,13.9,13932.0
2009,,94236.0,63319.0,10634.0,6688.0,1114593.0,33826.0,810549.0,270218.0,15291.0,10081.0,112.8,13.7,11465.0
2008,,87989.0,58574.0,9947.0,6221.0,1033945.0,31761.0,747981.0,254203.0,14041.0,9491.0,113.0,13.6,10645.0
2007,,81623.0,54999.0,9134.0,5825.0,964501.0,29436.0,698377.0,236688.0,12893.0,9010.0,111.9,13.4,9866.0
2006,,74384.0,51642.0,8222.0,5722.0,894973.0,27511.0,643538.0,223924.0,11785.0,8348.0,110.5,13.2,11058.0
2005,,69518.0,48174.0,7536.0,5622.0,845910.0,25569.0,603150.0,217191.0,10893.0,7736.0,108.4,12.9,11478.0
2004,,65214.0,45234.0,6965.0,5235.0,809726.0,23126.0,578960.0,207640.0,10279.0,7319.0,106.8,12.7,12187.0
2003,,59070.0,47224.0,6241.0,5973.0,785566.0,20709.0,563486.0,201371.0,9861.0,7358.0,105.7,12.6,13365.0
2002,,53738.0,42759.0,5534.0,5281.0,768158.0,19881.0,554758.0,193519.0,9603.0,7158.0,103.0,12.5,19059.0
2001,,50462.0,40036.0,4843.0,4603.0,764590.0,19976.0,550764.0,193850.0,9442.0,7025.0,96.0,12.3,21158.0
2000,,40434.0,31500.0,3513.0,3307.0,743301.0,19371.0,535955.0,187975.0,9153.0,6833.0,86.9,12.3,22533.0
1999,,32163.0,24208.0,2968.0,2783.0,722508.0,18833.0,521026.0,182649.0,8902.0,6675.0,92.3,12.3,24397.0
1998,,18790.0,10438.0,1392.0,1200.0,688767.0,11429.0,487072.0,190266.0,8517.0,6301.0,74.1,12.4,23380.0
1997,,15001.0,5187.0,902.0,571.0,600416.0,9286.0,401919.0,189211.0,6595.0,2785.0,60.1,11.0,25142.0
1996,,13634.0,0.0,480.0,0.0,522937.0,0.0,0.0,0.0,5005.0,0.0,35.2,9.6,0.0
1995,,14002.0,0.0,527.0,0.0,486009.0,0.0,0.0,0.0,4664.0,0.0,37.6,9.6,0.0
