Tarix (gün.ay.il);Stansiya;Gündəlik gediş sayı
2025-01-01 00:00:00,000;"20 Yanvar";29406
2025-01-02 00:00:00,000;"20 Yanvar";31045
2025-01-03 00:00:00,000;"20 Yanvar";33650
2025-01-04 00:00:00,000;"20 Yanvar";34509
2025-01-05 00:00:00,000;"20 Yanvar";28789
2025-01-06 00:00:00,000;"20 Yanvar";47288
2025-01-07 00:00:00,000;"20 Yanvar";47256
2025-01-08 00:00:00,000;"20 Yanvar";50211
2025-01-09 00:00:00,000;"20 Yanvar";51538
2025-01-10 00:00:00,000;"20 Yanvar";55388
2025-01-11 00:00:00,000;"20 Yanvar";42566
2025-01-12 00:00:00,000;"20 Yanvar";33632
2025-01-13 00:00:00,000;"20 Yanvar";53998
2025-01-14 00:00:00,000;"20 Yanvar";52149
2025-01-15 00:00:00,000;"20 Yanvar";49361
2025-01-16 00:00:00,000;"20 Yanvar";51089
2025-01-17 00:00:00,000;"20 Yanvar";53917
2025-01-18 00:00:00,000;"20 Yanvar";42707
2025-01-19 00:00:00,000;"20 Yanvar";31356
2025-01-20 00:00:00,000;"20 Yanvar";36474
2025-01-21 00:00:00,000;"20 Yanvar";53241
2025-01-22 00:00:00,000;"20 Yanvar";51426
2025-01-23 00:00:00,000;"20 Yanvar";49722
2025-01-24 00:00:00,000;"20 Yanvar";48106
2025-01-25 00:00:00,000;"20 Yanvar";37429
2025-01-26 00:00:00,000;"20 Yanvar";32800
2025-01-27 00:00:00,000;"20 Yanvar";53173
2025-01-28 00:00:00,000;"20 Yanvar";52368
2025-01-29 00:00:00,000;"20 Yanvar";37920
2025-01-30 00:00:00,000;"20 Yanvar";52174
2025-01-31 00:00:00,000;"20 Yanvar";54291
2025-02-01 00:00:00,000;"20 Yanvar";42373
2025-02-02 00:00:00,000;"20 Yanvar";35145
2025-02-03 00:00:00,000;"20 Yanvar";52238
2025-02-04 00:00:00,000;"20 Yanvar";50759
2025-02-05 00:00:00,000;"20 Yanvar";47168
2025-02-06 00:00:00,000;"20 Yanvar";47493
2025-02-07 00:00:00,000;"20 Yanvar";45222
2025-02-08 00:00:00,000;"20 Yanvar";35236
2025-02-09 00:00:00,000;"20 Yanvar";29154
2025-02-10 00:00:00,000;"20 Yanvar";49550
2025-02-11 00:00:00,000;"20 Yanvar";49194
2025-02-12 00:00:00,000;"20 Yanvar";49549
2025-02-13 00:00:00,000;"20 Yanvar";48933
2025-02-14 00:00:00,000;"20 Yanvar";48327
2025-02-15 00:00:00,000;"20 Yanvar";43001
2025-02-16 00:00:00,000;"20 Yanvar";38632
2025-02-17 00:00:00,000;"20 Yanvar";60597
2025-02-18 00:00:00,000;"20 Yanvar";59107
2025-02-19 00:00:00,000;"20 Yanvar";58175
2025-02-20 00:00:00,000;"20 Yanvar";55107
2025-02-21 00:00:00,000;"20 Yanvar";46160
2025-02-22 00:00:00,000;"20 Yanvar";32947
2025-02-23 00:00:00,000;"20 Yanvar";30173
2025-02-24 00:00:00,000;"20 Yanvar";38111
2025-02-25 00:00:00,000;"20 Yanvar";51533
2025-02-26 00:00:00,000;"20 Yanvar";57973
2025-02-27 00:00:00,000;"20 Yanvar";52956
2025-02-28 00:00:00,000;"20 Yanvar";60216
2025-03-01 00:00:00,000;"20 Yanvar";32072
2025-03-02 00:00:00,000;"20 Yanvar";30747
2025-03-03 00:00:00,000;"20 Yanvar";60560
2025-03-04 00:00:00,000;"20 Yanvar";60534
2025-03-05 00:00:00,000;"20 Yanvar";61381
2025-03-06 00:00:00,000;"20 Yanvar";61741
2025-03-07 00:00:00,000;"20 Yanvar";64051
2025-03-08 00:00:00,000;"20 Yanvar";46138
2025-03-09 00:00:00,000;"20 Yanvar";37103
2025-03-10 00:00:00,000;"20 Yanvar";62063
2025-03-11 00:00:00,000;"20 Yanvar";61377
2025-03-12 00:00:00,000;"20 Yanvar";60114
2025-03-13 00:00:00,000;"20 Yanvar";60735
2025-03-14 00:00:00,000;"20 Yanvar";60785
2025-03-15 00:00:00,000;"20 Yanvar";44277
2025-03-16 00:00:00,000;"20 Yanvar";36361
2025-03-17 00:00:00,000;"20 Yanvar";61748
2025-03-18 00:00:00,000;"20 Yanvar";58370
2025-03-19 00:00:00,000;"20 Yanvar";52211
2025-03-20 00:00:00,000;"20 Yanvar";23097
2025-03-21 00:00:00,000;"20 Yanvar";23913
2025-03-22 00:00:00,000;"20 Yanvar";28713
2025-03-23 00:00:00,000;"20 Yanvar";29587
2025-03-24 00:00:00,000;"20 Yanvar";31768
2025-03-25 00:00:00,000;"20 Yanvar";37288
2025-03-26 00:00:00,000;"20 Yanvar";38739
2025-03-27 00:00:00,000;"20 Yanvar";38019
2025-03-28 00:00:00,000;"20 Yanvar";38638
2025-03-29 00:00:00,000;"20 Yanvar";35998
2025-03-30 00:00:00,000;"20 Yanvar";31649
2025-03-31 00:00:00,000;"20 Yanvar";38068
2025-04-01 00:00:00,000;"20 Yanvar";60657
2025-04-02 00:00:00,000;"20 Yanvar";61450
2025-04-03 00:00:00,000;"20 Yanvar";61381
2025-04-04 00:00:00,000;"20 Yanvar";60933
2025-04-05 00:00:00,000;"20 Yanvar";45722
2025-04-06 00:00:00,000;"20 Yanvar";39427
2025-04-07 00:00:00,000;"20 Yanvar";62835
2025-04-08 00:00:00,000;"20 Yanvar";61673
2025-04-09 00:00:00,000;"20 Yanvar";60098
2025-04-10 00:00:00,000;"20 Yanvar";57476
2025-04-11 00:00:00,000;"20 Yanvar";57922
2025-04-12 00:00:00,000;"20 Yanvar";43457
2025-04-13 00:00:00,000;"20 Yanvar";36694
2025-04-14 00:00:00,000;"20 Yanvar";56976
2025-04-15 00:00:00,000;"20 Yanvar";55682
2025-04-16 00:00:00,000;"20 Yanvar";36572
2025-04-17 00:00:00,000;"20 Yanvar";53366
2025-04-18 00:00:00,000;"20 Yanvar";60192
2025-04-19 00:00:00,000;"20 Yanvar";45401
2025-04-20 00:00:00,000;"20 Yanvar";37185
2025-04-21 00:00:00,000;"20 Yanvar";61287
2025-04-22 00:00:00,000;"20 Yanvar";61012
2025-04-23 00:00:00,000;"20 Yanvar";60235
2025-04-24 00:00:00,000;"20 Yanvar";59604
2025-04-25 00:00:00,000;"20 Yanvar";60308
2025-04-26 00:00:00,000;"20 Yanvar";44129
2025-04-27 00:00:00,000;"20 Yanvar";36324
2025-04-28 00:00:00,000;"20 Yanvar";55382
2025-04-29 00:00:00,000;"20 Yanvar";54801
2025-04-30 00:00:00,000;"20 Yanvar";59570
2025-05-01 00:00:00,000;"20 Yanvar";59823
2025-05-02 00:00:00,000;"20 Yanvar";59409
2025-05-03 00:00:00,000;"20 Yanvar";44377
2025-05-04 00:00:00,000;"20 Yanvar";36862
2025-05-05 00:00:00,000;"20 Yanvar";60021
2025-05-06 00:00:00,000;"20 Yanvar";59408
2025-05-07 00:00:00,000;"20 Yanvar";60133
2025-05-08 00:00:00,000;"20 Yanvar";60724
2025-05-09 00:00:00,000;"20 Yanvar";42194
2025-05-10 00:00:00,000;"20 Yanvar";42568
2025-05-11 00:00:00,000;"20 Yanvar";36866
2025-05-12 00:00:00,000;"20 Yanvar";61527
2025-05-13 00:00:00,000;"20 Yanvar";60556
2025-05-14 00:00:00,000;"20 Yanvar";58060
2025-05-15 00:00:00,000;"20 Yanvar";58392
2025-05-16 00:00:00,000;"20 Yanvar";59553
2025-05-17 00:00:00,000;"20 Yanvar";44298
2025-05-18 00:00:00,000;"20 Yanvar";35559
2025-05-19 00:00:00,000;"20 Yanvar";59913
2025-05-20 00:00:00,000;"20 Yanvar";59914
2025-05-21 00:00:00,000;"20 Yanvar";58382
2025-05-22 00:00:00,000;"20 Yanvar";58978
2025-05-23 00:00:00,000;"20 Yanvar";59178
2025-05-24 00:00:00,000;"20 Yanvar";43127
2025-05-25 00:00:00,000;"20 Yanvar";36338
2025-05-26 00:00:00,000;"20 Yanvar";58767
2025-05-27 00:00:00,000;"20 Yanvar";57366
2025-05-28 00:00:00,000;"20 Yanvar";40176
2025-05-29 00:00:00,000;"20 Yanvar";54710
