Stansiya;Station;coğrafi enliyi (latitude);coğrafi uzunluğu (longitude);yerləşdiyi ünvan;Çıxış nörmələri
"Xocəsən";"Khojasan";40421499;49778066;"Dairəvi yol";" Çıxış 1"
"Avtovağzal";"Avtovaghzal";40421760;49796061;"Bakı Sumqayıt yolu";" Çıxış 1"
"Avtovağzal";"Avtovaghzal";40421344;49795113;"Bakı Sumqayıt yolu";" Çıxış 2"
"Avtovağzal";"Avtovaghzal";40420451;49795884;"Bakı Sumqayıt yolu";" Çıxış 3"
"Avtovağzal";"Avtovaghzal";40420312;49795509;"Bakı Sumqayıt yolu";" Çıxış 4"
"Memar Əcəmi";"Memar Ajami";40412073;49815008;"Cavadxan küçəsi";" Çıxış 1"
"Memar Əcəmi";"Memar Ajami";40411792;49814919;"Cavadxan küçəsi";" Çıxış 2"
"Memar Əcəmi";"Memar Ajami";40410435;49815237;"Cavadxan küçəsi";" Çıxış 3"
"Memar Əcəmi";"Memar Ajami";40410251;49814793;"Cavadxan küçəsi";" Çıxış 4"
"Memar Əcəmi 2";"Memar Ajami 2";40410365;49811939;"Cavadxan küçəsi";" Çıxış 1"
"Memar Əcəmi 2";"Memar Ajami 2";40410717;49813700;"Cavadxan küçəsi";" Çıxış 2"
"8 Noyabr";"8 Novabr";40402263;49819552;"Ceyhun Səlimov küçəsi";" Çıxış 1"
"8 Noyabr";"8 Novabr";40401717;49820776;"Ceyhun Səlimov küçəsi";" Çıxış 2"
"8 Noyabr";"8 Novabr";40401370;49822054;"Ceyhun Səlimov küçəsi";" Çıxış 3"
"8 Noyabr";"8 Novabr";40402646;49819923;"Ceyhun Səlimov küçəsi";" Çıxış 4"
"Nəsimi";"Nasimi";40424112;49824204;"Svetlana Məmmədova küçəsi";" Çıxış 1"
"Nəsimi";"Nasimi";40424490;49824127;"Svetlana Məmmədova küçəsi";" Çıxış 2"
"Nəsimi";"Nasimi";40424811;49826502;"Svetlana Məmmədova küçəsi";" Çıxış 3"
"Nəsimi";"Nasimi";40424415;49826474;"Svetlana Məmmədova küçəsi";" Çıxış 4"
"Azadlıq prospekti";"Azadliq prospekti";40425958;49842833;"Süleyman sani Axundov küçəsi";" Çıxış 1"
"Azadlıq prospekti";"Azadliq prospekti";40425245;49842692;"Süleyman sani Axundov küçəsi";" Çıxış 2"
"Azadlıq prospekti";"Azadliq prospekti";40425272;49840899;"Süleyman sani Axundov küçəsi";" Çıxış 3"
"Azadlıq prospekti";"Azadliq prospekti";40425866;49840901;"Süleyman sani Axundov küçəsi";" Çıxış 4"
"Dərnəgül";"Darnagul";40424955;49860638;"Süleyman sani Axundov küçəsi";" Çıxış 1"
"Dərnəgül";"Darnagul";40425694;49860696;"Süleyman sani Axundov küçəsi";" Çıxış 2"
"Dərnəgül";"Darnagul";40425625;49862902;"Süleyman sani Axundov küçəsi";" Çıxış 3"
"Dərnəgül";"Darnagul";40424839;49862609;"Süleyman sani Axundov küçəsi";" Çıxış 4"
"20 Yanvar";"20 Yanvar";40403402;49807583;"Zərdabi prospekti";" Çıxış 1"
"20 Yanvar";"20 Yanvar";40403369;49807902;"Tblisi prospekti";" Çıxış 2"
"20 Yanvar";"20 Yanvar";40403537;49808488;"Tblisi prospekti";" Çıxış 3"
"20 Yanvar";"20 Yanvar";40404820;49807982;"Moskva prospekti";" Çıxış 4"
"20 Yanvar";"20 Yanvar";40404423;49807058;"Moskva prospekti";" Çıxış 5"
"20 Yanvar";"20 Yanvar";40402775;49807052;"Zərdabi prospekti";" Çıxış 6"
"20 Yanvar";"20 Yanvar";40403242;49806938;"Zərdabi prospekti";" Çıxış 7"
"İnşaatçılar";"Insahatchilar";40391379;49802764;"Şərifzadə küçəsi";" Çıxış 1"
"İnşaatçılar";"Insahatchilar";40391391;49802163;"Şərifzadə küçəsi";" Çıxış 2"
"İnşaatçılar";"Insahatchilar";40388998;49802512;"Şərifzadə küçəsi";" Çıxış 3"
"İnşaatçılar";"Insahatchilar";40388996;49803148;"Şərifzadə küçəsi";" Çıxış 4"
"Elmlər Akademiyası";"Elmler Akademiyasi";40375083;49812417;"Bəxtiyar Vahabzadə küçəsi";" Çıxış 1"
"Elmlər Akademiyası";"Elmler Akademiyasi";40375410;49811811;"Bəxtiyar Vahabzadə küçəsi";" Çıxış 2"
"Elmlər Akademiyası";"Elmler Akademiyasi";40375308;49812390;"Bəxtiyar Vahabzadə küçəsi";" Çıxış 3"
"Elmlər Akademiyası";"Elmler Akademiyasi";40375056;49811605;"Bəxtiyar Vahabzadə küçəsi";" Çıxış 4"
"Elmlər Akademiyası";"Elmler Akademiyasi";40375105;49815491;"Hüseyn Cavid küçəsi";" Çıxış 5"
"Nizami";"Nizami";40379190;49830063;"Cəfər Cabbarlı küçəsi";" Çıxış 1"
"28.05.2026 00:00:00";"28 May";40379712;49848843;"Dilarə Əliyeva küçəsi";" Çıxış 1"
"28.05.2026 00:00:00";"28 May";40382710;49846801;"Azadlıq prospekti";" Çıxış 2"
"Gənclik";"Ganjlik";40400468;49850587;"Fətəli xan Xoyski küçəsi";" Çıxış 1"
